coach_qid,startDate,endDate,origin,League
Q310813,2005-06-17T00:00:00Z,2009-08-31T00:00:00Z,Italian,Italy
Q310813,2016-01-14T00:00:00Z,2017-05-30T00:00:00Z,Italian,Italy
Q367846,2025-01-01T00:00:00Z,,Italian,Italy
Q396154,2017-06-13T00:00:00Z,2019-03-07T00:00:00Z,Italian,Italy
Q556688,2024-09-18T00:00:00Z,,Foreign,Italy
Q645692,1990-07-01T00:00:00Z,1992-06-30T00:00:00Z,Italian,Italy
Q79983,2021-07-01T00:00:00Z,2024-01-16T00:00:00Z,Foreign,Italy
Q923131,2013-07-01T00:00:00Z,2016-01-13T00:00:00Z,Foreign,Italy
Q967859,1964-01-01T00:00:00Z,1965-01-01T00:00:00Z,Foreign,Italy
Q1407829,1975-07-01T00:00:00Z,1977-06-30T00:00:00Z,Italian,Italy
Q1407829,1984-07-01T00:00:00Z,1986-06-30T00:00:00Z,Italian,Italy
Q192640,2022-10-06T00:00:00Z,,Foreign,Italy
Q218369,1992-07-01T00:00:00Z,1997-06-30T00:00:00Z,Foreign,Italy
Q235068,2019-10-11T00:00:00Z,2021-06-30T00:00:00Z,Italian,Italy
Q2631653,1999-07-01T00:00:00Z,2000-06-30T00:00:00Z,Italian,Italy
Q2704759,2016-07-04T00:00:00Z,2019-06-19T00:00:00Z,Italian,Italy
Q2704759,2022-01-19T00:00:00Z,2022-10-02T00:00:00Z,Italian,Italy
Q294302,2015-06-11T00:00:00Z,2015-11-10T00:00:00Z,Italian,Italy
Q294351,2013-11-20T00:00:00Z,2015-06-11T00:00:00Z,Foreign,Italy
Q297768,2015-11-15T00:00:00Z,2016-06-28T00:00:00Z,Italian,Italy
Q310813,1998-07-01T00:00:00Z,1998-12-14T00:00:00Z,Italian,Italy
Q310813,1999-02-01T00:00:00Z,1999-06-30T00:00:00Z,Italian,Italy
Q370838,2007-07-01T00:00:00Z,2009-06-30T00:00:00Z,Italian,Italy
Q396154,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z,Italian,Italy
Q43926,2023-06-28T00:00:00Z,2024-08-29T00:00:00Z,Italian,Italy
Q1080952,1999-08-20T00:00:00Z,2000-06-30T00:00:00Z,Italian,Italy
Q1080952,2008-09-25T00:00:00Z,2009-05-20T00:00:00Z,Italian,Italy
Q126503,2021-06-01T00:00:00Z,2022-03-01T00:00:00Z,Italian,Italy
Q169092,2006-03-03T00:00:00Z,2006-06-30T00:00:00Z,Foreign,Italy
Q230529,2019-11-05T00:00:00Z,2019-12-02T00:00:00Z,Italian,Italy
Q2537282,1978-07-01T00:00:00Z,1980-06-30T00:00:00Z,Italian,Italy
Q2704759,2013-07-02T00:00:00Z,2013-09-24T00:00:00Z,Italian,Italy
Q3940276,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z,Italian,Italy
Q511092,2018-09-18T00:00:00Z,2019-11-03T00:00:00Z,Italian,Italy
Q511092,2019-12-02T00:00:00Z,,Italian,Italy
Q954307,2020-02-05T00:00:00Z,,Foreign,Italy
Q1080952,1983-07-01T00:00:00Z,1987-06-30T00:00:00Z,Italian,Italy
Q192131,1946-01-01T00:00:00Z,1946-01-01T00:00:00Z,Italian,Italy
Q26580,2009-09-21T00:00:00Z,2010-01-07T00:00:00Z,Italian,Italy
Q3052298,1987-07-01T00:00:00Z,1990-06-30T00:00:00Z,Italian,Italy
Q3052298,1994-07-01T00:00:00Z,1998-06-30T00:00:00Z,Italian,Italy
Q43304,1992-07-01T00:00:00Z,1993-06-30T00:00:00Z,Italian,Italy
Q494319,2003-01-01T00:00:00Z,2004-01-01T00:00:00Z,Italian,Italy
Q645692,1981-07-01T00:00:00Z,1983-06-30T00:00:00Z,Italian,Italy
Q1280931,1983-07-01T00:00:00Z,1984-06-30T00:00:00Z,Italian,Italy
Q1337031,1984-07-01T00:00:00Z,1985-11-10T00:00:00Z,Italian,Italy
Q1407829,1977-07-01T00:00:00Z,1982-06-30T00:00:00Z,Italian,Italy
Q144048,2010-06-10T00:00:00Z,2010-12-23T00:00:00Z,Foreign,Italy
Q192131,1946-01-01T00:00:00Z,1948-01-01T00:00:00Z,Italian,Italy
Q192131,1955-01-01T00:00:00Z,1956-01-01T00:00:00Z,Italian,Italy
Q192131,1957-01-01T00:00:00Z,1957-01-01T00:00:00Z,Italian,Italy
Q203781,1995-10-16T00:00:00Z,1997-05-19T00:00:00Z,Foreign,Italy
Q203781,1999-04-27T00:00:00Z,1999-06-30T00:00:00Z,Foreign,Italy
Q210491,2025-06-06T00:00:00Z,,Foreign,Italy
Q219657,2016-08-01T00:00:00Z,2016-11-01T00:00:00Z,Foreign,Italy
Q235068,2011-09-22T00:00:00Z,2012-03-26T00:00:00Z,Italian,Italy
Q2537282,1997-07-01T00:00:00Z,1998-11-30T00:00:00Z,Italian,Italy
Q26580,2019-05-31T00:00:00Z,2021-05-26T00:00:00Z,Italian,Italy
