coach_qid,startDate,endDate,origin,League
Q169092,2001-07-01T00:00:00Z,2002-12-29T00:00:00Z,Foreign,Italy
Q613881,1939-01-01T00:00:00Z,1939-01-01T00:00:00Z,Italian,Italy
Q923088,2003-07-01T00:00:00Z,2004-06-10T00:00:00Z,Italian,Italy
Q294718,2001-07-02T00:00:00Z,2001-12-03T00:00:00Z,Italian,Italy
Q294718,2002-03-20T00:00:00Z,2002-06-22T00:00:00Z,Italian,Italy
Q354529,2007-06-01T00:00:00Z,2007-06-17T00:00:00Z,Italian,Italy
Q294718,2002-06-22T00:00:00Z,2003-06-30T00:00:00Z,Italian,Italy
Q294718,2005-01-11T00:00:00Z,2006-02-06T00:00:00Z,Italian,Italy
Q370838,2003-07-01T00:00:00Z,2004-06-30T00:00:00Z,Italian,Italy
Q1080952,2004-10-31T00:00:00Z,2005-06-30T00:00:00Z,Italian,Italy
Q258115,2011-01-19T00:00:00Z,2011-06-01T00:00:00Z,Foreign,Italy
Q2704759,2010-05-30T00:00:00Z,2011-01-18T00:00:00Z,Italian,Italy
Q294302,2008-04-01T00:00:00Z,2009-06-30T00:00:00Z,Italian,Italy
Q294351,2009-12-08T00:00:00Z,2010-05-24T00:00:00Z,Foreign,Italy
Q297768,2011-06-09T00:00:00Z,2012-06-05T00:00:00Z,Italian,Italy
Q3940276,2012-01-01T00:00:00Z,2014-01-01T00:00:00Z,Italian,Italy
Q1080952,1994-10-02T00:00:00Z,1995-12-09T00:00:00Z,Italian,Italy
Q1280931,1975-07-01T00:00:00Z,1980-02-04T00:00:00Z,Italian,Italy
Q1280931,1984-07-01T00:00:00Z,1988-12-12T00:00:00Z,Italian,Italy
Q1407829,1982-07-01T00:00:00Z,1984-06-30T00:00:00Z,Italian,Italy
Q2537282,2000-07-01T00:00:00Z,2000-10-30T00:00:00Z,Italian,Italy
Q2631653,2011-06-06T00:00:00Z,2016-06-25T00:00:00Z,Italian,Italy
Q2704759,2020-08-07T00:00:00Z,2021-01-18T00:00:00Z,Italian,Italy
Q294351,2016-05-25T00:00:00Z,2018-01-04T00:00:00Z,Foreign,Italy
Q3052298,1990-07-01T00:00:00Z,1994-06-30T00:00:00Z,Italian,Italy
Q3052298,1998-07-01T00:00:00Z,2000-06-30T00:00:00Z,Italian,Italy
Q370838,2018-01-04T00:00:00Z,2020-02-04T00:00:00Z,Italian,Italy
Q3862936,2020-02-04T00:00:00Z,,Italian,Italy
Q980528,1995-12-09T00:00:00Z,1996-03-25T00:00:00Z,Italian,Italy
Q294302,2000-10-31T00:00:00Z,2001-01-18T00:00:00Z,Italian,Italy
Q294302,2016-12-08T00:00:00Z,2018-06-30T00:00:00Z,Italian,Italy
Q980528,1981-07-01T00:00:00Z,1981-07-31T00:00:00Z,Italian,Italy
Q43304,1982-07-01T00:00:00Z,1985-06-30T00:00:00Z,Italian,Italy
Q43304,1985-07-01T00:00:00Z,1986-06-30T00:00:00Z,Italian,Italy
Q2537282,2004-07-01T00:00:00Z,2004-11-10T00:00:00Z,Italian,Italy
Q26580,2010-05-23T00:00:00Z,2011-05-30T00:00:00Z,Italian,Italy
Q2704759,2008-07-01T00:00:00Z,2009-10-29T00:00:00Z,Italian,Italy
Q43304,1986-07-01T00:00:00Z,1987-06-30T00:00:00Z,Italian,Italy
Q494319,2007-06-01T00:00:00Z,2007-11-12T00:00:00Z,Italian,Italy
Q645692,1978-07-01T00:00:00Z,1979-06-30T00:00:00Z,Italian,Italy
Q2631653,1989-07-01T00:00:00Z,1992-06-30T00:00:00Z,Italian,Italy
Q370838,2002-07-01T00:00:00Z,2003-06-30T00:00:00Z,Italian,Italy
Q43304,1987-07-01T00:00:00Z,1988-06-30T00:00:00Z,Italian,Italy
Q2537282,1990-07-01T00:00:00Z,1992-06-30T00:00:00Z,Italian,Italy
Q43304,1988-07-01T00:00:00Z,1989-06-30T00:00:00Z,Italian,Italy
Q1280931,1971-07-01T00:00:00Z,1973-06-30T00:00:00Z,Italian,Italy
Q1407829,1973-07-01T00:00:00Z,1975-06-30T00:00:00Z,Italian,Italy
Q2704759,2011-06-04T00:00:00Z,2011-10-30T00:00:00Z,Italian,Italy
Q43304,1989-07-01T00:00:00Z,1991-01-26T00:00:00Z,Italian,Italy
Q2537282,2005-10-11T00:00:00Z,2006-06-30T00:00:00Z,Italian,Italy
Q43304,1991-07-01T00:00:00Z,1992-06-30T00:00:00Z,Italian,Italy
Q980528,1993-01-26T00:00:00Z,1993-06-30T00:00:00Z,Italian,Italy
Q168497,2022-10-11T00:00:00Z,2023-02-14T00:00:00Z,Italian,Italy
Q26696437,2014-12-08T00:00:00Z,2020-02-10T00:00:00Z,Italian,Italy
Q354529,2004-06-01T00:00:00Z,2005-04-30T00:00:00Z,Italian,Italy
Q43926,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,Italian,Italy
Q1080952,1976-07-01T00:00:00Z,1979-03-12T00:00:00Z,Italian,Italy
Q191885,2021-07-08T00:00:00Z,2022-06-28T00:00:00Z,Italian,Italy
Q2631653,1986-07-01T00:00:00Z,1986-12-08T00:00:00Z,Italian,Italy
Q494319,1999-01-01T00:00:00Z,2002-01-01T00:00:00Z,Italian,Italy
Q980528,1977-07-01T00:00:00Z,1978-06-30T00:00:00Z,Italian,Italy
Q169092,1983-07-01T00:00:00Z,1986-06-30T00:00:00Z,Foreign,Italy
Q169092,1986-07-01T00:00:00Z,1987-04-06T00:00:00Z,Foreign,Italy
Q169092,1989-07-01T00:00:00Z,1994-06-30T00:00:00Z,Foreign,Italy
Q169092,2010-07-21T00:00:00Z,2011-06-10T00:00:00Z,Foreign,Italy
Q2032119,2014-07-01T00:00:00Z,2016-08-14T00:00:00Z,Italian,Italy
Q169092,1988-07-01T00:00:00Z,1989-06-01T00:00:00Z,Foreign,Italy
Q2631653,2006-03-27T00:00:00Z,2006-06-30T00:00:00Z,Italian,Italy
Q980528,1974-07-01T00:00:00Z,1974-11-18T00:00:00Z,Italian,Italy
Q980528,1975-01-20T00:00:00Z,1975-06-30T00:00:00Z,Italian,Italy
Q980528,1980-07-01T00:00:00Z,1980-10-06T00:00:00Z,Italian,Italy
Q980528,1984-07-01T00:00:00Z,1988-06-30T00:00:00Z,Italian,Italy
Q1080952,1989-07-01T00:00:00Z,1990-02-17T00:00:00Z,Italian,Italy
Q1407829,1987-10-25T00:00:00Z,1988-06-30T00:00:00Z,Italian,Italy
Q169092,2003-07-01T00:00:00Z,2004-06-30T00:00:00Z,Foreign,Italy
Q3852721,2007-06-18T00:00:00Z,2007-07-23T00:00:00Z,Italian,Italy
Q645692,1983-11-21T00:00:00Z,1984-06-30T00:00:00Z,Italian,Italy
Q125438,2020-08-29T00:00:00Z,2020-11-29T00:00:00Z,Italian,Italy
Q1337031,1989-07-01T00:00:00Z,1989-09-25T00:00:00Z,Italian,Italy
Q169092,2011-06-22T00:00:00Z,2012-06-04T00:00:00Z,Foreign,Italy
Q169092,2017-02-17T00:00:00Z,2018-03-04T00:00:00Z,Foreign,Italy
Q3852721,2005-06-09T00:00:00Z,2006-05-30T00:00:00Z,Italian,Italy
Q396154,2010-01-12T00:00:00Z,2011-06-22T00:00:00Z,Italian,Italy
Q578673,1980-07-01T00:00:00Z,1981-06-30T00:00:00Z,Italian,Italy
Q980528,1993-10-05T00:00:00Z,1993-10-29T00:00:00Z,Italian,Italy
Q294259,1982-07-01T00:00:00Z,1983-06-30T00:00:00Z,Italian,Italy
Q294259,1984-07-01T00:00:00Z,1985-06-30T00:00:00Z,Italian,Italy
Q310078,1976-11-08T00:00:00Z,1976-12-20T00:00:00Z,Foreign,Italy
Q310078,1979-03-05T00:00:00Z,1979-04-30T00:00:00Z,Foreign,Italy
Q113652572,2012-06-01T00:00:00Z,2015-06-01T00:00:00Z,Italian,Italy
Q2537282,1988-07-01T00:00:00Z,1989-05-15T00:00:00Z,Italian,Italy
Q2704759,2015-06-15T00:00:00Z,2016-06-30T00:00:00Z,Italian,Italy
Q310813,1994-04-18T00:00:00Z,1994-06-30T00:00:00Z,Italian,Italy
Q310813,1995-07-01T00:00:00Z,1998-06-30T00:00:00Z,Italian,Italy
Q3852721,2012-05-25T00:00:00Z,2015-05-04T00:00:00Z,Italian,Italy
Q1080952,2003-09-29T00:00:00Z,2004-01-28T00:00:00Z,Italian,Italy
Q310813,2001-12-28T00:00:00Z,2002-06-30T00:00:00Z,Italian,Italy
Q980528,1998-04-01T00:00:00Z,1998-04-29T00:00:00Z,Italian,Italy
Q1080952,1979-07-01T00:00:00Z,1980-06-30T00:00:00Z,Italian,Italy
Q2537282,1989-07-01T00:00:00Z,1989-12-04T00:00:00Z,Italian,Italy
Q3052298,2001-10-20T00:00:00Z,2002-05-06T00:00:00Z,Italian,Italy
Q3052298,2002-11-25T00:00:00Z,2003-02-11T00:00:00Z,Italian,Italy
Q980528,1996-12-24T00:00:00Z,1997-04-02T00:00:00Z,Italian,Italy
Q1080952,1996-11-09T00:00:00Z,1997-06-30T00:00:00Z,Italian,Italy
Q1317738,2019-10-08T00:00:00Z,2020-01-08T00:00:00Z,Italian,Italy
Q2537282,1992-07-01T00:00:00Z,1996-06-30T00:00:00Z,Italian,Italy
Q2704759,2014-11-17T00:00:00Z,2015-06-14T00:00:00Z,Italian,Italy
Q3052298,1982-04-26T00:00:00Z,1986-06-30T00:00:00Z,Italian,Italy
Q3052298,2007-07-01T00:00:00Z,2008-06-30T00:00:00Z,Italian,Italy
Q3052298,2008-12-17T00:00:00Z,2009-03-26T00:00:00Z,Italian,Italy
Q494319,2018-04-24T00:00:00Z,2018-11-04T00:00:00Z,Italian,Italy
Q2537282,1999-07-01T00:00:00Z,2000-01-10T00:00:00Z,Italian,Italy
Q923088,2008-06-11T00:00:00Z,2009-06-05T00:00:00Z,Italian,Italy
Q2537282,2002-07-04T00:00:00Z,2003-06-22T00:00:00Z,Italian,Italy
Q2537282,2009-02-24T00:00:00Z,2009-06-09T00:00:00Z,Italian,Italy
Q2537282,2011-10-18T00:00:00Z,2012-03-20T00:00:00Z,Italian,Italy
Q1280931,1983-03-14T00:00:00Z,1983-06-30T00:00:00Z,Italian,Italy
Q230529,2017-06-13T00:00:00Z,2018-08-18T00:00:00Z,Italian,Italy
Q2631653,2009-06-27T00:00:00Z,2011-02-10T00:00:00Z,Italian,Italy
Q26580,2007-12-28T00:00:00Z,2009-06-23T00:00:00Z,Italian,Italy
Q3940276,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z,Italian,Italy
Q1024171,2024-03-01T00:00:00Z,2024-06-03T00:00:00Z,Italian,Italy
Q2032119,2018-07-01T00:00:00Z,2021-05-24T00:00:00Z,Italian,Italy
Q230529,2024-06-03T00:00:00Z,,Italian,Italy
Q354529,2007-06-17T00:00:00Z,2008-04-28T00:00:00Z,Italian,Italy
Q396154,2012-06-19T00:00:00Z,2014-01-28T00:00:00Z,Italian,Italy
Q396154,2014-03-03T00:00:00Z,2017-06-12T00:00:00Z,Italian,Italy
Q494319,2008-07-01T00:00:00Z,2009-06-01T00:00:00Z,Italian,Italy
Q923088,2009-06-12T00:00:00Z,2010-06-09T00:00:00Z,Italian,Italy
Q980528,1973-07-01T00:00:00Z,1974-06-30T00:00:00Z,Italian,Italy
Q980528,1975-07-01T00:00:00Z,1976-06-30T00:00:00Z,Italian,Italy
Q980528,1981-08-01T00:00:00Z,1982-06-30T00:00:00Z,Italian,Italy
Q370838,2001-07-01T00:00:00Z,2002-06-30T00:00:00Z,Italian,Italy
Q980528,1976-07-01T00:00:00Z,1977-06-30T00:00:00Z,Italian,Italy
Q980528,1983-07-01T00:00:00Z,1984-06-30T00:00:00Z,Italian,Italy
Q1080952,1974-07-01T00:00:00Z,1975-06-30T00:00:00Z,Italian,Italy
Q1080952,1975-07-01T00:00:00Z,1976-06-30T00:00:00Z,Italian,Italy
Q1080952,1980-07-01T00:00:00Z,1983-06-30T00:00:00Z,Italian,Italy
Q1080952,1990-09-01T00:00:00Z,1991-06-30T00:00:00Z,Italian,Italy
Q1080952,2006-11-14T00:00:00Z,2007-06-15T00:00:00Z,Italian,Italy
Q1337031,1986-11-10T00:00:00Z,1988-12-19T00:00:00Z,Italian,Italy
Q1407829,1988-12-20T00:00:00Z,1990-01-27T00:00:00Z,Italian,Italy
Q2704759,2004-07-01T00:00:00Z,2005-06-30T00:00:00Z,Italian,Italy
Q578673,1990-01-28T00:00:00Z,1990-06-30T00:00:00Z,Italian,Italy
Q1080952,2010-03-28T00:00:00Z,2010-04-15T00:00:00Z,Italian,Italy
Q494319,2023-02-21T00:00:00Z,2023-06-01T00:00:00Z,Italian,Italy
Q645692,1979-12-10T00:00:00Z,1980-06-30T00:00:00Z,Italian,Italy
Q3052298,2012-01-30T00:00:00Z,2012-03-06T00:00:00Z,Italian,Italy
Q2631653,2018-10-10T00:00:00Z,2018-11-13T00:00:00Z,Italian,Italy
Q3940276,2014-01-01T00:00:00Z,2018-01-01T00:00:00Z,Italian,Italy
Q923088,2010-06-10T00:00:00Z,2011-06-02T00:00:00Z,Italian,Italy
Q3940276,2009-01-01T00:00:00Z,2011-01-01T00:00:00Z,Italian,Italy
Q494319,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z,Italian,Italy
Q26580,2006-07-01T00:00:00Z,2006-10-31T00:00:00Z,Italian,Italy
Q26580,2007-03-13T00:00:00Z,2007-06-30T00:00:00Z,Italian,Italy
Q3852721,2006-10-01T00:00:00Z,2007-02-13T00:00:00Z,Italian,Italy
Q1407829,1971-07-01T00:00:00Z,1973-06-30T00:00:00Z,Italian,Italy
Q1407829,1990-07-01T00:00:00Z,1991-06-30T00:00:00Z,Italian,Italy
Q3052298,1986-07-01T00:00:00Z,1987-06-30T00:00:00Z,Italian,Italy
Q578673,1987-07-01T00:00:00Z,1988-01-04T00:00:00Z,Italian,Italy
Q645692,1984-07-01T00:00:00Z,1985-06-30T00:00:00Z,Italian,Italy
Q3052298,2006-01-30T00:00:00Z,2007-06-19T00:00:00Z,Italian,Italy
Q3052298,2009-09-28T00:00:00Z,2011-01-29T00:00:00Z,Italian,Italy
Q3052298,2011-02-19T00:00:00Z,2011-06-17T00:00:00Z,Italian,Italy
Q1280931,1968-07-01T00:00:00Z,1969-06-30T00:00:00Z,Italian,Italy
Q3940276,2007-01-01T00:00:00Z,2009-01-01T00:00:00Z,Italian,Italy
Q494319,1998-01-01T00:00:00Z,1999-01-01T00:00:00Z,Italian,Italy
Q645692,1980-07-01T00:00:00Z,1981-06-30T00:00:00Z,Italian,Italy
Q1407829,1991-07-01T00:00:00Z,1992-01-25T00:00:00Z,Italian,Italy
Q923088,2004-06-15T00:00:00Z,2006-01-22T00:00:00Z,Italian,Italy
Q923088,2006-02-08T00:00:00Z,2006-06-05T00:00:00Z,Italian,Italy
Q354529,2005-06-19T00:00:00Z,2005-09-26T00:00:00Z,Italian,Italy
Q354529,2006-03-17T00:00:00Z,2006-09-29T00:00:00Z,Italian,Italy
Q3852721,2010-02-24T00:00:00Z,2010-05-30T00:00:00Z,Italian,Italy
Q923088,2007-09-11T00:00:00Z,2008-06-11T00:00:00Z,Italian,Italy
Q2032119,2013-11-19T00:00:00Z,2014-06-30T00:00:00Z,Italian,Italy
Q396154,2008-06-23T00:00:00Z,2009-01-27T00:00:00Z,Italian,Italy
Q494319,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z,Italian,Italy
Q494319,2020-01-20T00:00:00Z,2021-01-01T00:00:00Z,Italian,Italy
Q578673,1983-12-04T00:00:00Z,1984-02-26T00:00:00Z,Italian,Italy
Q2631653,1981-07-01T00:00:00Z,1982-06-30T00:00:00Z,Italian,Italy
Q2631653,1982-07-01T00:00:00Z,1983-06-30T00:00:00Z,Italian,Italy
Q2631653,1984-07-01T00:00:00Z,1986-06-30T00:00:00Z,Italian,Italy
Q2631653,1987-07-01T00:00:00Z,1989-06-30T00:00:00Z,Italian,Italy
Q2631653,1992-07-01T00:00:00Z,1993-06-30T00:00:00Z,Italian,Italy
Q3852721,2000-07-01T00:00:00Z,2003-06-30T00:00:00Z,Italian,Italy
Q3852721,2003-06-01T00:00:00Z,2005-05-30T00:00:00Z,Italian,Italy
Q113652572,2010-07-01T00:00:00Z,2011-06-01T00:00:00Z,Italian,Italy
Q3852721,2010-06-06T00:00:00Z,2011-05-24T00:00:00Z,Italian,Italy
Q113652572,2011-07-01T00:00:00Z,2011-12-01T00:00:00Z,Italian,Italy
Q3852721,2011-06-06T00:00:00Z,2011-11-13T00:00:00Z,Italian,Italy
Q3940276,2002-01-01T00:00:00Z,2005-01-01T00:00:00Z,Italian,Italy
Q3940276,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,Italian,Italy
Q1407829,1995-07-01T00:00:00Z,1996-06-30T00:00:00Z,Italian,Italy
Q1407829,2006-03-29T00:00:00Z,2006-06-30T00:00:00Z,Italian,Italy
