coachName,nationality,nationality2,teamName,teamCountry
Rafa Benítez,Spain,,Real Madrid Juvenil,Spain
Rafa Benítez,Spain,,Inter Milan,Italy
Rafa Benítez,Spain,,Real Madrid CF,Spain
Rafa Benítez,Spain,,RC Celta de Vigo,Spain
Rafa Benítez,Spain,,Chelsea F.C.,United Kingdom
Rafa Benítez,Spain,,Extremadura UD,Spain
Gennaro Gattuso,Italy,,Valencia CF,Spain
Gennaro Gattuso,Italy,,Olympique de Marseille,France
Gennaro Gattuso,Italy,,AC Milan,Italy
Gennaro Gattuso,Italy,,HNK Hajduk Split,Croatia
Gennaro Gattuso,Italy,,SSC Napoli,Italy
Gennaro Gattuso,Italy,,Palermo F.C.,Italy
Gennaro Gattuso,Italy,,Pisa SC,Italy
Gennaro Gattuso,Italy,,Pisa SC,Italy
Gennaro Gattuso,Italy,,A.C. Milan Primavera,Italy
Gennaro Gattuso,Italy,,Italy men's national association football team,National
Gennaro Gattuso,Italy,,O.F.I. Crete F.C.,Greece
Igor Tudor,Croatia,,Olympique de Marseille,France
Igor Tudor,Croatia,,Juventus FC,Italy
Igor Tudor,Croatia,,HNK Hajduk Split,Croatia
Igor Tudor,Croatia,,HNK Hajduk Split,Croatia
Igor Tudor,Croatia,,P.A.O.K. F.C.,Greece
Igor Tudor,Croatia,,SS Lazio,Italy
Igor Tudor,Croatia,,Udinese Calcio,Italy
Igor Tudor,Croatia,,Udinese Calcio,Italy
Igor Tudor,Croatia,,Kardemir Karabükspor,Turkey
Igor Tudor,Croatia,,Galatasaray S.K.,Turkey
Igor Tudor,Croatia,,Hellas Verona FC,Italy
José Mourinho,Portugal,,FC Porto,Portugal
José Mourinho,Portugal,,S.L. Benfica,Portugal
José Mourinho,Portugal,,Manchester United F.C.,United Kingdom
José Mourinho,Portugal,,Tottenham Hotspur F.C.,United Kingdom
José Mourinho,Portugal,,U.D. Leiria,Portugal
José Mourinho,Portugal,,A.S. Roma,Italy
José Mourinho,Portugal,,Inter Milan,Italy
José Mourinho,Portugal,,Fenerbahçe Istanbul,Turkey
José Mourinho,Portugal,,Real Madrid CF,Spain
José Mourinho,Portugal,,Chelsea F.C.,United Kingdom
José Mourinho,Portugal,,Chelsea F.C.,United Kingdom
Giovanni Trapattoni,Italy,,S.L. Benfica,Portugal
Giovanni Trapattoni,Italy,,Juventus FC,Italy
Giovanni Trapattoni,Italy,,Juventus FC,Italy
Giovanni Trapattoni,Italy,,AC Milan,Italy
Giovanni Trapattoni,Italy,,FC Bayern Munich,Germany
Giovanni Trapattoni,Italy,,FC Bayern Munich,Germany
Giovanni Trapattoni,Italy,,Republic of Ireland men's national association football team,National
Giovanni Trapattoni,Italy,,Cagliari Calcio,Italy
Giovanni Trapattoni,Italy,,ACF Fiorentina,Italy
Giovanni Trapattoni,Italy,,VfB Stuttgart,Germany
Giovanni Trapattoni,Italy,,Inter Milan,Italy
Giovanni Trapattoni,Italy,,Italy men's national association football team,National
Giovanni Trapattoni,Italy,,FC Red Bull Salzburg,Austria
Filippo Inzaghi,Italy,,AC Milan,Italy
Filippo Inzaghi,Italy,,Bologna F.C. 1909,Italy
Filippo Inzaghi,Italy,,Palermo F.C.,Italy
Filippo Inzaghi,Italy,,Pisa SC,Italy
Filippo Inzaghi,Italy,,Venezia F.C.,Italy
Filippo Inzaghi,Italy,,Benevento Calcio,Italy
Filippo Inzaghi,Italy,,Brescia Calcio,Italy
Filippo Inzaghi,Italy,,U.S. Salernitana 1919,Italy
Filippo Inzaghi,Italy,,AS Reggina 1914,Italy
Roberto Donadoni,Italy,,Shenzhen F.C.,People's Republic of China
Roberto Donadoni,Italy,,Bologna F.C. 1909,Italy
Roberto Donadoni,Italy,,Cagliari Calcio,Italy
Roberto Donadoni,Italy,,Genoa CFC,Italy
Roberto Donadoni,Italy,,SSC Napoli,Italy
Roberto Donadoni,Italy,,Parma Calcio 1913,Italy
