coachName,nationality,nationality2,teamName,teamCountry
Franco Scoglio,Italy,,Spezia Calcio,Italy
Juan Carlos Lorenzo,Argentina,,Club Atlético Atlanta,Argentina
Juan Carlos Lorenzo,Argentina,,Independiente Santa Fe,Colombia
Juan Carlos Lorenzo,Argentina,,Club Atlético River Plate,Argentina
Juan Carlos Lorenzo,Argentina,,Boca Juniors,Argentina
Juan Carlos Lorenzo,Argentina,,Boca Juniors,Argentina
Juan Carlos Lorenzo,Argentina,,Club Atlético Vélez Sarsfield,Argentina
Juan Carlos Lorenzo,Argentina,,San Lorenzo de Almagro,Argentina
Juan Carlos Lorenzo,Argentina,,San Lorenzo de Almagro,Argentina
Juan Carlos Lorenzo,Argentina,,San Lorenzo de Almagro,Argentina
Juan Carlos Lorenzo,Argentina,,San Lorenzo de Almagro,Argentina
Juan Carlos Lorenzo,Argentina,,San Lorenzo de Almagro,Argentina
Juan Carlos Lorenzo,Argentina,,Argentinos Juniors,Argentina
Juan Carlos Lorenzo,Argentina,,SS Lazio,Italy
Juan Carlos Lorenzo,Argentina,,SS Lazio,Italy
Juan Carlos Lorenzo,Argentina,,SS Lazio,Italy
Juan Carlos Lorenzo,Argentina,,A.S. Roma,Italy
Juan Carlos Lorenzo,Argentina,,Racing Club,Argentina
Juan Carlos Lorenzo,Argentina,,Argentina men's national association football team,National
Juan Carlos Lorenzo,Argentina,,Argentina men's national association football team,National
Juan Carlos Lorenzo,Argentina,,Unión de Santa Fe,Argentina
Juan Carlos Lorenzo,Argentina,,Atlético de Madrid,Spain
Juan Carlos Lorenzo,Argentina,,RCD Mallorca,Spain
Juan Carlos Lorenzo,Argentina,,RCD Mallorca,Spain
Francesco Guidolin,Italy,,Swansea City A.F.C.,United Kingdom
Nereo Rocco,Italy,,AC Milan,Italy
Nedo Sonetti,Italy,,Cosenza Calcio,Italy
Nedo Sonetti,Italy,,US Lecce,Italy
Nedo Sonetti,Italy,,US Lecce,Italy
Nedo Sonetti,Italy,,Viareggio Calcio,Italy
Nedo Sonetti,Italy,,S.S. Sambenedettese Calcio,Italy
Nedo Sonetti,Italy,,Atalanta BC,Italy
Nedo Sonetti,Italy,,A.S.D. Casertana Calcio,Italy
Nedo Sonetti,Italy,,Bologna F.C. 1909,Italy
Nedo Sonetti,Italy,,Cagliari Calcio,Italy
Nedo Sonetti,Italy,,Cagliari Calcio,Italy
Nedo Sonetti,Italy,,Cagliari Calcio,Italy
Nedo Sonetti,Italy,,Catania FC,Italy
Nedo Sonetti,Italy,,A.C. Ancona,Italy
Nedo Sonetti,Italy,,Palermo F.C.,Italy
Nedo Sonetti,Italy,,Torino FC,Italy
Nedo Sonetti,Italy,,Udinese Calcio,Italy
Nedo Sonetti,Italy,,AC Monza,Italy
Nedo Sonetti,Italy,,U.S. Avellino 1912,Italy
Nedo Sonetti,Italy,,Ascoli Calcio 1898 FC,Italy
Nedo Sonetti,Italy,,Ascoli Calcio 1898 FC,Italy
Nedo Sonetti,Italy,,Brescia Calcio,Italy
Nedo Sonetti,Italy,,Brescia Calcio,Italy
Nedo Sonetti,Italy,,U.S. Cremonese,Italy
Nedo Sonetti,Italy,,U.S. Salernitana 1919,Italy
Nedo Sonetti,Italy,,Spezia Calcio,Italy
Nedo Sonetti,Italy,,Vicenza Calcio,Italy
Alec Stock,United Kingdom,,AFC Bournemouth,United Kingdom
Héctor Cúper,Argentina,,Syria men's national football team,National
Héctor Cúper,Argentina,,Real Betis Balompié,Spain
Fabio Liverani,Italy,,Leyton Orient F.C.,United Kingdom
Mario Corso,Italy,,US Lecce,Italy
Umberto Caligaris,Italy,,Brescia Calcio,Italy
Vujadin Boškov,Serbia,,BSC Young Boys,Switzerland
Domenico Di Carlo,Italy,,U.C. Sampdoria,Italy
Domenico Di Carlo,Italy,,Cesena FC,Italy
Domenico Di Carlo,Italy,,AC ChievoVerona,Italy
Domenico Di Carlo,Italy,,Parma Calcio 1913,Italy
Domenico Di Carlo,Italy,,Mantova FC,Italy
Domenico Di Carlo,Italy,,LR Vicenza,Italy
Domenico Di Carlo,Italy,,US Livorno 1915,Italy
Domenico Di Carlo,Italy,,Novara Calcio,Italy
Domenico Di Carlo,Italy,,Spezia Calcio,Italy
Antonio Conte,Italy,,Juventus FC,Italy
Antonio Conte,Italy,,Juventus FC,Italy
Antonio Conte,Italy,,Tottenham Hotspur F.C.,United Kingdom
Antonio Conte,Italy,,Atalanta BC,Italy
Antonio Conte,Italy,,SSC Napoli,Italy
Antonio Conte,Italy,,Siena FC,Italy
Antonio Conte,Italy,,S.S. Arezzo,Italy
Antonio Conte,Italy,,S.S. Arezzo,Italy
Antonio Conte,Italy,,Inter Milan,Italy
Antonio Conte,Italy,,SSC Bari,Italy
Antonio Conte,Italy,,Italy men's national association football team,National
Antonio Conte,Italy,,Chelsea F.C.,United Kingdom
George Raynor,United Kingdom,,Doncaster Rovers F.C.,United Kingdom
George Raynor,United Kingdom,,Djurgårdens IF Fotboll,Sweden
György Sárosi,Hungary,,SSC Bari,Italy
Aldo Olivieri,Italy,,Viareggio Calcio,Italy
Raffaele Palladino,Italy,,ACF Fiorentina,Italy
Raffaele Palladino,Italy,,AC Monza,Italy
Raffaele Palladino,Italy,,Inter Milan,Italy
Cristian Bucchi,Italy,,Delfino Pescara 1936,Italy
Fabio Pecchia,Italy,,A.S. Gubbio 1910,Italy
Ivan Jurić,Croatia,,A.S. Roma,Italy
Ivan Jurić,Croatia,,Hellas Verona FC,Italy
Gianpiero Marini,Italy,,Inter Milan,Italy
Eraldo Monzeglio,Italy,,Como 1907,Italy
Attila Sallustro,Italy,Paraguay,SSC Napoli,Italy
Attila Sallustro,Italy,Paraguay,U.S. Salernitana 1919,Italy
Amedeo Amadei,Italy,,SSC Napoli,Italy
Marco Giampaolo,Italy,,US Lecce,Italy
Marco Giampaolo,Italy,,U.C. Sampdoria,Italy
Marco Giampaolo,Italy,,U.C. Sampdoria,Italy
Marco Giampaolo,Italy,,AC Milan,Italy
Marco Giampaolo,Italy,,Cagliari Calcio,Italy
Marco Giampaolo,Italy,,Cagliari Calcio,Italy
Marco Giampaolo,Italy,,Catania FC,Italy
Marco Giampaolo,Italy,,Siena FC,Italy
Marco Giampaolo,Italy,,Torino FC,Italy
Marco Giampaolo,Italy,,Ascoli Calcio 1898 FC,Italy
Marco Giampaolo,Italy,,Brescia Calcio,Italy
Marco Giampaolo,Italy,,AC Cesena,Italy
Marco Giampaolo,Italy,,Empoli FC,Italy
Marco Giampaolo,Italy,,U.S. Cremonese,Italy
Emiliano Mondonico,Italy,,Como 1907,Italy
Emiliano Mondonico,Italy,,Cosenza Calcio,Italy
Emiliano Mondonico,Italy,,Cosenza Calcio,Italy
Emiliano Mondonico,Italy,,Atalanta BC,Italy
Emiliano Mondonico,Italy,,Atalanta BC,Italy
Emiliano Mondonico,Italy,,ACF Fiorentina,Italy
Emiliano Mondonico,Italy,,SSC Napoli,Italy
Emiliano Mondonico,Italy,,Torino FC,Italy
Emiliano Mondonico,Italy,,Torino FC,Italy
Emiliano Mondonico,Italy,,U.C. AlbinoLeffe,Italy
Emiliano Mondonico,Italy,,U.C. AlbinoLeffe,Italy
Emiliano Mondonico,Italy,,U.C. AlbinoLeffe,Italy
Emiliano Mondonico,Italy,,U.S. Cremonese,Italy
Emiliano Mondonico,Italy,,U.S. Cremonese,Italy
Emiliano Mondonico,Italy,,U.S. Cremonese,Italy
Emiliano Mondonico,Italy,,Novara Calcio,Italy
Luigi Radice,Italy,,AC Milan,Italy
Luigi Radice,Italy,,Bologna F.C. 1909,Italy
Luigi Radice,Italy,,Bologna F.C. 1909,Italy
Luigi Radice,Italy,,Cagliari Calcio,Italy
Luigi Radice,Italy,,Cagliari Calcio,Italy
Luigi Radice,Italy,,ACF Fiorentina,Italy
Luigi Radice,Italy,,ACF Fiorentina,Italy
Luigi Radice,Italy,,Genoa CFC,Italy
Luigi Radice,Italy,,A.S. Roma,Italy
Luigi Radice,Italy,,Torino FC,Italy
Luigi Radice,Italy,,Torino FC,Italy
Luigi Radice,Italy,,AC Monza,Italy
Luigi Radice,Italy,,AC Monza,Italy
Luigi Radice,Italy,,AC Monza,Italy
Luigi Radice,Italy,,Treviso F.B.C. 1993,Italy
Luigi Radice,Italy,,Inter Milan,Italy
Luigi Radice,Italy,,SSC Bari,Italy
Luigi Radice,Italy,,AC Cesena,Italy
Ottavio Bianchi,Italy,,Como 1907,Italy
Ottavio Bianchi,Italy,,U.S. Triestina Calcio 1918,Italy
Ottavio Bianchi,Italy,,Atalanta BC,Italy
Ottavio Bianchi,Italy,,ACF Fiorentina,Italy
Ottavio Bianchi,Italy,,SSC Napoli,Italy
Ottavio Bianchi,Italy,,SSC Napoli,Italy
Ottavio Bianchi,Italy,,A.S. Roma,Italy
Ottavio Bianchi,Italy,,Siena FC,Italy
Ottavio Bianchi,Italy,,U.S. Avellino 1912,Italy
Ottavio Bianchi,Italy,,Mantova FC,Italy
Ottavio Bianchi,Italy,,Inter Milan,Italy
Luis Diego López,Uruguay,,Club Atlético Peñarol,Uruguay
Luis Diego López,Uruguay,,Brescia Calcio,Italy
Stefano Colantuono,Italy,,S.S. Sambenedettese Calcio,Italy
Stefano Pioli,Italy,,AC Milan,Italy
Stefano Pioli,Italy,,Bologna F.C. 1909,Italy
Stefano Pioli,Italy,,AC ChievoVerona,Italy
Stefano Pioli,Italy,,ACF Fiorentina,Italy
Stefano Pioli,Italy,,SS Lazio,Italy
Stefano Pioli,Italy,,Palermo F.C.,Italy
Stefano Pioli,Italy,,Parma Calcio 1913,Italy
Stefano Pioli,Italy,,Piacenza Calcio,Italy
Stefano Pioli,Italy,,Al-Nassr,Saudi Arabia
Stefano Pioli,Italy,,Inter Milan,Italy
Stefano Pioli,Italy,,U.S. Grosseto 1912,Italy
Stefano Pioli,Italy,,Modena F.C.,Italy
Stefano Pioli,Italy,,Modena F.C.,Italy
Stefano Pioli,Italy,,U.S. Salernitana 1919,Italy
Stefano Pioli,Italy,,US Sassuolo Calcio,Italy
Walter Mazzarri,Italy,,Città di Acireale 1946,Italy
Walter Mazzarri,Italy,,Pistoiese FC,Italy
Walter Mazzarri,Italy,,U.C. Sampdoria,Italy
Walter Mazzarri,Italy,,Cagliari Calcio,Italy
Walter Mazzarri,Italy,,SSC Napoli,Italy
Walter Mazzarri,Italy,,SSC Napoli,Italy
Walter Mazzarri,Italy,,Watford F.C.,United Kingdom
Walter Mazzarri,Italy,,Torino FC,Italy
Walter Mazzarri,Italy,,Inter Milan,Italy
Walter Mazzarri,Italy,,US Livorno 1915,Italy
Walter Mazzarri,Italy,,AS Reggina 1914,Italy
Giovanni Galeone,Italy,,Pordenone FC,Italy
Roberto De Zerbi,Italy,,Olympique de Marseille,France
Roberto De Zerbi,Italy,,Calcio Foggia 1920,Italy
Roberto De Zerbi,Italy,,FC Shakhtar Donetsk,Ukraine
Roberto De Zerbi,Italy,,Brighton & Hove Albion F.C.,United Kingdom
Roberto De Zerbi,Italy,,Palermo F.C.,Italy
Roberto De Zerbi,Italy,,U.S. Darfo Boario S.S.D.,Italy
Roberto De Zerbi,Italy,,Benevento Calcio,Italy
Roberto De Zerbi,Italy,,US Sassuolo Calcio,Italy
Luis Carniglia,Argentina,,AC Milan,Italy
Renzo Ulivieri,Italy,,A.C. Prato,Italy
Giuseppe Iachini,Italy,,ACF Fiorentina,Italy
Vincenzo Italiano,Italy,,Bologna F.C. 1909,Italy
Gabriele Cioffi,Italy,,Birmingham City F.C.,United Kingdom
Alberto Malesani,Italy,,Panathinaikos F.C.,Greece
�scar Tabárez,Uruguay,,Uruguay men's national football team,National
�scar Tabárez,Uruguay,,Uruguay men's national football team,National
�scar Tabárez,Uruguay,,AC Milan,Italy
�scar Tabárez,Uruguay,,Boca Juniors,Argentina
�scar Tabárez,Uruguay,,Boca Juniors,Argentina
�scar Tabárez,Uruguay,,Cagliari Calcio,Italy
�scar Tabárez,Uruguay,,Cagliari Calcio,Italy
�scar Tabárez,Uruguay,,Club Atlético Vélez Sarsfield,Argentina
�scar Tabárez,Uruguay,,Uruguay national under-20 football team,National
�scar Tabárez,Uruguay,,Uruguay national under-20 football team,National
�scar Tabárez,Uruguay,,Real Oviedo,Spain
�scar Tabárez,Uruguay,,Penarol Atlético Clube,Brazil
�scar Tabárez,Uruguay,,Danubio F.C.,Uruguay
�scar Tabárez,Uruguay,,C.A. Bella Vista,Uruguay
�scar Tabárez,Uruguay,,Deportivo Cali,Colombia
�scar Tabárez,Uruguay,,Montevideo Wanderers Fútbol Club,Uruguay
Alberto Cavasin,Italy,,Leyton Orient F.C.,United Kingdom
William Garbutt,United Kingdom,,AC Milan,Italy
Gianni De Biasi,Italy,,Football Club Bassano 1903,Italy
Ljubiša Broćić,Socialist Federal Republic of Yugoslavia,,FC Barcelona,Spain
Eusebio Di Francesco,Italy,,US Lecce,Italy
Eusebio Di Francesco,Italy,,U.C. Sampdoria,Italy
Eusebio Di Francesco,Italy,,Cagliari Calcio,Italy
Eusebio Di Francesco,Italy,,Delfino Pescara 1936,Italy
Eusebio Di Francesco,Italy,,A.S. Roma,Italy
Eusebio Di Francesco,Italy,,Venezia F.C.,Italy
Eusebio Di Francesco,Italy,,Frosinone Calcio,Italy
Eusebio Di Francesco,Italy,,US Sassuolo Calcio,Italy
Eusebio Di Francesco,Italy,,US Sassuolo Calcio,Italy
Eusebio Di Francesco,Italy,,Hellas Verona FC,Italy
Eusebio Di Francesco,Italy,,Lanciano Calcio 1920,Italy
Gian Piero Gasperini Jotolon,Italy,,A.S. Roma,Italy
Giovanni Stroppa,Italy,,AC Milan,Italy
William Chalmers,United Kingdom,,Aldershot F.C.,United Kingdom
Federico Munerati,Italy,,A.S.D. Biellese 1902,Italy
József Viola,Hungary,,AC Milan,Italy
Carlo Parola,Italy,,SSC Ancona,Italy
Andrea Mandorlini,Italy,,U.S. Triestina Calcio 1918,Italy
Andrea Mandorlini,Italy,,Atalanta BC,Italy
Andrea Mandorlini,Italy,,Bologna F.C. 1909,Italy
Andrea Mandorlini,Italy,,CFR Cluj,Romania
Andrea Mandorlini,Italy,,CFR Cluj,Romania
Andrea Mandorlini,Italy,,Genoa CFC,Italy
Andrea Mandorlini,Italy,,Siena FC,Italy
Andrea Mandorlini,Italy,,Mantova FC,Italy
Andrea Mandorlini,Italy,,LR Vicenza,Italy
Andrea Mandorlini,Italy,,U.S. Cremonese,Italy
Andrea Mandorlini,Italy,,Calcio Padova,Italy
Andrea Mandorlini,Italy,,Calcio Padova,Italy
Andrea Mandorlini,Italy,,US Sassuolo Calcio,Italy
Andrea Mandorlini,Italy,,Spezia Calcio,Italy
Andrea Mandorlini,Italy,,Hellas Verona FC,Italy
Andrea Soncin,Italy,,Italy women's national football team,National
Gian Piero Ventura,Italy,,Pistoiese FC,Italy
Gian Piero Ventura,Italy,,US Lecce,Italy
Gian Piero Ventura,Italy,,A.S.D. Centese 1913,Italy
Gian Piero Ventura,Italy,,U.C. Sampdoria,Italy
Gian Piero Ventura,Italy,,Cagliari Calcio,Italy
Gian Piero Ventura,Italy,,Cagliari Calcio,Italy
Gian Piero Ventura,Italy,,AC ChievoVerona,Italy
Gian Piero Ventura,Italy,,Virtus Entella,Italy
Gian Piero Ventura,Italy,,Virtus Entella,Italy
Gian Piero Ventura,Italy,,SSC Napoli,Italy
Gian Piero Ventura,Italy,,Torino FC,Italy
Gian Piero Ventura,Italy,,Udinese Calcio,Italy
Gian Piero Ventura,Italy,,Pisa SC,Italy
Gian Piero Ventura,Italy,,A.C.R. Messina,Italy
Gian Piero Ventura,Italy,,Associazione Calcistica Dilettantistica Rapallo Ruentes 1914,Italy
Gian Piero Ventura,Italy,,Giarre F.C.,Italy
Gian Piero Ventura,Italy,,Venezia F.C.,Italy
Gian Piero Ventura,Italy,,Venezia F.C.,Italy
Gian Piero Ventura,Italy,,SSC Bari,Italy
Gian Piero Ventura,Italy,,Italy men's national association football team,National
Gian Piero Ventura,Italy,,Spezia Calcio,Italy
Gian Piero Ventura,Italy,,Hellas Verona FC,Italy
Armando Castellazzi,Italy,,Inter Milan,Italy
Bruno Pesaola,Italy,Argentina,SSC Napoli,Italy
Jarbas Faustinho,Brazil,,SSC Napoli,Italy
Paulo Amaral,Brazil,,Botafogo F.R.,Brazil
Cristiano Bergodi,Italy,,CS Universitatea Craiova,Romania
Cristiano Bergodi,Italy,,FC Voluntari,Romania
Cristiano Bergodi,Italy,,CFR Cluj,Romania
Cristiano Bergodi,Italy,,FC Rapid București,Romania
Rudi Garcia,France,,Olympique de Marseille,France
Rudi Garcia,France,,Belgium men's national football team,National
Rudi Garcia,France,,Lille OSC,France
Rudi Garcia,France,,AS Saint-Étienne,France
Rudi Garcia,France,,Le Mans F.C.,France
Rudi Garcia,France,,SSC Napoli,Italy
Rudi Garcia,France,,A.S. Roma,Italy
Rudi Garcia,France,,AS Corbeil,France
Rudi Garcia,France,,Al-Nassr,Saudi Arabia
Rudi Garcia,France,,Dijon FCO,France
Rudi Garcia,France,,Olympique Lyonnais,France
Hermann Felsner,Austria,,AC Milan,Italy
Guido Ara,Italy,,AC Milan,Italy
Luigi De Canio,Italy,,Queens Park Rangers F.C.,United Kingdom
Angelo Gregucci,Italy,,Leyton Orient F.C.,United Kingdom
Davide Ballardini,Italy,,SS Lazio,Italy
Davide Ballardini,Italy,,US Sassuolo Calcio,Italy
Massimiliano Allegri,Italy,,SPAL,Italy
Massimiliano Allegri,Italy,,Juventus FC,Italy
Massimiliano Allegri,Italy,,Juventus FC,Italy
Massimiliano Allegri,Italy,,AC Milan,Italy
Massimiliano Allegri,Italy,,AC Milan,Italy
Massimiliano Allegri,Italy,,Cagliari Calcio,Italy
Massimiliano Allegri,Italy,,U.S. Grosseto 1912,Italy
Massimiliano Allegri,Italy,,U.S. Grosseto 1912,Italy
Massimiliano Allegri,Italy,,US Sassuolo Calcio,Italy
Massimiliano Allegri,Italy,,Calcio Lecco 1912,Italy
Mario Magnozzi,Italy,,AC Milan,Italy
Luis Miró,Spain,,Real Valladolid,Spain
Luis Miró,Spain,,Sevilla FC,Spain
Luis Miró,Spain,,Valencia CF,Spain
Luis Miró,Spain,,Valencia CF,Spain
Luis Miró,Spain,,Centre d'Esports Sabadell Futbol Club,Spain
Luis Miró,Spain,,CD Málaga,Spain
Luis Miró,Spain,,Olympique de Marseille,France
Luis Miró,Spain,,UE Sants,Spain
Luis Miró,Spain,,A.S. Roma,Italy
Luis Miró,Spain,,Terrassa FC,Spain
Luis Miró,Spain,,FC Barcelona,Spain
Luis Miró,Spain,,FC Barcelona,Spain
Luis Miró,Spain,,RC Celta de Vigo,Spain
Vladimir Petković,Switzerland,Bosnia and Herzegovina,AC Bellinzona,Switzerland
Marco Baroni,Italy,,US Lecce,Italy
Marco Baroni,Italy,,U.S. Cremonese,Italy
Marco Baroni,Italy,,Frosinone Calcio,Italy
Marco Baroni,Italy,,AS Reggina 1914,Italy
Massimo Rastelli,Italy,,S.S. Juve Stabia,Italy
Giuseppe Marchioro,Italy,,AC Milan,Italy
Aldo Agroppi,Italy,,Como 1907,Italy
Aldo Agroppi,Italy,,A.C. Perugia Calcio,Italy
Aldo Agroppi,Italy,,A.C. Perugia Calcio,Italy
Aldo Agroppi,Italy,,ACF Fiorentina,Italy
Aldo Agroppi,Italy,,ACF Fiorentina,Italy
Aldo Agroppi,Italy,,Delfino Pescara 1936,Italy
Aldo Agroppi,Italy,,Pisa SC,Italy
Aldo Agroppi,Italy,,Ascoli Calcio 1898 FC,Italy
Aldo Agroppi,Italy,,Calcio Padova,Italy
Antonio Busini,Italy,,AC Milan,Italy
Giancarlo Cadé,Italy,,A.C. Reggiana 1919,Italy
Davide Nicola,Italy,,A.C. Lumezzane,Italy
Paolo Todeschini,Italy,,AC Milan,Italy
Maurizio Sarri,Italy,,Juventus FC,Italy
Maurizio Sarri,Italy,,Sorrento Calcio 1945,Italy
Maurizio Sarri,Italy,,A.C. Perugia Calcio,Italy
Maurizio Sarri,Italy,,FC Alessandria,Italy
Maurizio Sarri,Italy,,A.C. Sansovino,Italy
Maurizio Sarri,Italy,,SS Lazio,Italy
Maurizio Sarri,Italy,,SS Lazio,Italy
Maurizio Sarri,Italy,,SSC Napoli,Italy
Maurizio Sarri,Italy,,Delfino Pescara 1936,Italy
Maurizio Sarri,Italy,,A.S.D. SanGiovanniValdarno,Italy
Maurizio Sarri,Italy,,S.S. Arezzo,Italy
Maurizio Sarri,Italy,,U.S. Avellino 1912,Italy
Maurizio Sarri,Italy,,Empoli FC,Italy
Maurizio Sarri,Italy,,U.S. Grosseto 1912,Italy
Maurizio Sarri,Italy,,Hellas Verona FC,Italy
Maurizio Sarri,Italy,,Chelsea F.C.,United Kingdom
Béla Guttmann,Hungary,,AC Milan,Italy
Giuseppe Sannino,Italy,,Watford F.C.,United Kingdom
Andrea Stramaccioni,Italy,,AC Sparta Prague,Czech Republic
Andrea Stramaccioni,Italy,,Esteghlal F.C.,Iran
Rolando Maran,Italy,,U.S. Triestina Calcio 1918,Italy
Rolando Maran,Italy,,Cagliari Calcio,Italy
Rolando Maran,Italy,,Catania FC,Italy
Rolando Maran,Italy,,AC ChievoVerona,Italy
Rolando Maran,Italy,,Pisa SC,Italy
Rolando Maran,Italy,,LR Vicenza,Italy
Rolando Maran,Italy,,SSC Bari,Italy
Rolando Maran,Italy,,Brescia Calcio,Italy
Rolando Maran,Italy,,Associazione Sportiva Cittadella,Italy
Rolando Maran,Italy,,Varese Calcio,Italy
Julio Velázquez,Spain,,Real Betis Balompié,Spain
Kosta Runjaić,Germany,,Legia Warsaw,Poland
Aurelio Andreazzoli,Italy,,Genoa CFC,Italy
Paulo Fonseca,Portugal,,Clube Desportivo das Aves,Portugal
Paulo Fonseca,Portugal,,FC Porto,Portugal
Paulo Fonseca,Portugal,,S.U. 1º de Dezembro,Portugal
Paulo Fonseca,Portugal,,AC Milan,Italy
Paulo Fonseca,Portugal,,FC Shakhtar Donetsk,Ukraine
Paulo Fonseca,Portugal,,Lille OSC,France
Paulo Fonseca,Portugal,,A.S. Roma,Italy
Paulo Fonseca,Portugal,,C.D. Pinhalnovense,Portugal
Paulo Fonseca,Portugal,,Odivelas F.C.,Portugal
Paulo Fonseca,Portugal,,F.C. Paços de Ferreira,Portugal
Paulo Fonseca,Portugal,,F.C. Paços de Ferreira,Portugal
Paulo Fonseca,Portugal,,Olympique Lyonnais,France
Paulo Fonseca,Portugal,,S.C. Braga,Portugal
Massimo Giacomini,Italy,,AC Milan,Italy
Moreno Longo,Italy,,Torino FC,Italy
Moreno Longo,Italy,,Frosinone Calcio,Italy
Giovanni Martusciello,Italy,,Empoli FC,Italy
Leonardo Semplici,Italy,,SPAL,Italy
Leonardo Semplici,Italy,,Pisa SC,Italy
Diego Bortoluzzi,Italy,,Treviso F.B.C. 1993,Italy
Eugenio Bersellini,Italy,,Como 1907,Italy
Eugenio Bersellini,Italy,,Como 1907,Italy
Eugenio Bersellini,Italy,,US Lecce,Italy
Eugenio Bersellini,Italy,,U.C. Sampdoria,Italy
Eugenio Bersellini,Italy,,U.C. Sampdoria,Italy
Eugenio Bersellini,Italy,,Bologna F.C. 1909,Italy
Eugenio Bersellini,Italy,,Al NSR SC,Libya
Eugenio Bersellini,Italy,,ACF Fiorentina,Italy
Eugenio Bersellini,Italy,,U.S.D. Lavagnese 1919,Italy
Eugenio Bersellini,Italy,,Libya men's national football team,National
Eugenio Bersellini,Italy,,Torino FC,Italy
Eugenio Bersellini,Italy,,Pisa SC,Italy
Eugenio Bersellini,Italy,,U.S. Avellino 1912,Italy
Eugenio Bersellini,Italy,,ASD FBC Saronno 1910,Italy
Eugenio Bersellini,Italy,,Al-ittihad,Libya
Eugenio Bersellini,Italy,,Inter Milan,Italy
Eugenio Bersellini,Italy,,Ascoli Calcio 1898 FC,Italy
Eugenio Bersellini,Italy,,AC Cesena,Italy
Eugenio Bersellini,Italy,,Modena F.C.,Italy
Ilario Castagner,Italy,,AC Milan,Italy
Ilario Castagner,Italy,,A.C. Perugia Calcio,Italy
Ilario Castagner,Italy,,A.C. Perugia Calcio,Italy
Ilario Castagner,Italy,,A.C. Perugia Calcio,Italy
Ilario Castagner,Italy,,SS Lazio,Italy
Ilario Castagner,Italy,,Delfino Pescara 1936,Italy
Ilario Castagner,Italy,,Pisa SC,Italy
Ilario Castagner,Italy,,Inter Milan,Italy
Ilario Castagner,Italy,,Ascoli Calcio 1898 FC,Italy
Alessio Dionisi,Italy,,US Fiorenzuola 1922,Italy
Alessio Dionisi,Italy,,Palermo F.C.,Italy
Alessio Dionisi,Italy,,Imolese Calcio 1919,Italy
Alessio Dionisi,Italy,,Borgosesia Calcio,Italy
Alessio Dionisi,Italy,,Venezia F.C.,Italy
Alessio Dionisi,Italy,,Empoli FC,Italy
Alessio Dionisi,Italy,,US Sassuolo Calcio,Italy
Luca Gotti,Italy,,Udinese Calcio,Italy
Francesco Calzona,Italy,,Sorrento Calcio 1945,Italy
Francesco Calzona,Italy,,A.C. Perugia Calcio,Italy
Francesco Calzona,Italy,,FC Alessandria,Italy
Francesco Calzona,Italy,,Slovakia men's national football team,National
Francesco Calzona,Italy,,Cagliari Calcio,Italy
Francesco Calzona,Italy,,SSC Napoli,Italy
Francesco Calzona,Italy,,SSC Napoli,Italy
Francesco Calzona,Italy,,SSC Napoli,Italy
Francesco Calzona,Italy,,Empoli FC,Italy
