coach_qid,entity_qid,startDate,endDate
Q183108,Q2739,1999-06-06T00:00:00Z,2004-05-28T00:00:00Z
Q183108,Q1422,2004-05-29T00:00:00Z,2006-07-04T00:00:00Z
Q183108,Q8682,2006-07-06T00:00:00Z,2007-06-28T00:00:00Z
Q183108,Q47762,2006-12-14T00:00:00Z,2012-02-08T00:00:00Z
Q183108,Q726080,2012-07-16T00:00:00Z,2015-07-13T00:00:00Z
Q183108,Q925648,2017-06-11T00:00:00Z,2018-03-28T00:00:00Z
Q654036,Q19487,,
Q219657,Q47050,,
Q219657,Q81888,2010-12-06T00:00:00Z,2016-06-30T00:00:00Z
Q219657,Q631,2016-08-01T00:00:00Z,2016-11-01T00:00:00Z
Q219657,Q19467,2017-06-01T00:00:00Z,2017-09-11T00:00:00Z
Q219657,Q16836317,2018-12-01T00:00:00Z,
Q312143,Q19490,,
Q144048,Q6101985,1986-01-01T00:00:00Z,1993-01-01T00:00:00Z
Q144048,Q12217,1993-01-01T00:00:00Z,1994-01-01T00:00:00Z
Q144048,Q12217,1994-01-01T00:00:00Z,1995-01-01T00:00:00Z
Q144048,Q10319,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z
Q144048,Q10286,1996-01-01T00:00:00Z,1996-01-01T00:00:00Z
Q144048,Q994224,1997-01-01T00:00:00Z,1999-01-01T00:00:00Z
Q144048,Q216661,2000-01-01T00:00:00Z,2001-01-01T00:00:00Z
Q144048,Q10333,2001-01-01T00:00:00Z,2004-06-01T00:00:00Z
Q144048,Q1130849,2004-06-16T00:00:00Z,2010-06-03T00:00:00Z
Q144048,Q631,2010-06-10T00:00:00Z,2010-12-23T00:00:00Z
Q144048,Q9616,2012-11-21T00:00:00Z,2013-05-27T00:00:00Z
Q144048,Q2641,2013-05-27T00:00:00Z,2015-06-01T00:00:00Z
Q144048,Q8682,2015-06-03T00:00:00Z,2016-01-04T00:00:00Z
Q144048,Q18716,2016-03-11T00:00:00Z,2019-06-30T00:00:00Z
Q144048,Q1157920,2019-07-02T00:00:00Z,2021-01-23T00:00:00Z
Q144048,Q5794,2021-06-30T00:00:00Z,2022-01-16T00:00:00Z
Q144048,Q8749,2023-06-23T00:00:00Z,2024-03-12T00:00:00Z
Q116980,Q2674,2013-06-19T00:00:00Z,2013-09-25T00:00:00Z
Q116980,Q931704,2014-07-01T00:00:00Z,2014-12-30T00:00:00Z
Q116980,Q289613,2015-08-20T00:00:00Z,2016-07-31T00:00:00Z
Q116980,Q289613,2016-09-02T00:00:00Z,2017-06-30T00:00:00Z
Q116980,Q3299830,2017-07-01T00:00:00Z,2017-11-27T00:00:00Z
Q116980,Q1543,2017-11-27T00:00:00Z,2019-05-28T00:00:00Z
Q116980,Q2641,2019-12-11T00:00:00Z,2021-05-23T00:00:00Z
Q116980,Q10333,2022-06-09T00:00:00Z,2023-01-30T00:00:00Z
Q116980,Q132885,2023-09-27T00:00:00Z,2024-02-19T00:00:00Z
Q116980,Q181216,2024-06-12T00:00:00Z,2025-06-05T00:00:00Z
Q116980,Q676899,2025-06-15T00:00:00Z,
Q276544,Q181216,2013-04-29T00:00:00Z,2015-02-04T00:00:00Z
Q276544,Q204888,2015-06-18T00:00:00Z,2016-03-09T00:00:00Z
Q276544,Q301332,2016-06-18T00:00:00Z,2017-02-15T00:00:00Z
Q276544,Q495299,2017-02-15T00:00:00Z,2017-12-18T00:00:00Z
Q276544,Q2798,2018-04-24T00:00:00Z,2018-06-07T00:00:00Z
Q276544,Q2798,2019-03-20T00:00:00Z,2019-11-01T00:00:00Z
Q276544,Q181216,2020-01-02T00:00:00Z,2020-08-21T00:00:00Z
Q276544,Q8639,2021-09-14T00:00:00Z,2022-05-28T00:00:00Z
Q276544,Q132885,2022-07-04T00:00:00Z,2023-06-01T00:00:00Z
Q276544,Q2609,2024-03-18T00:00:00Z,2024-06-05T00:00:00Z
Q276544,Q1422,2025-03-23T00:00:00Z,
Q79983,Q131499,2000-09-20T00:00:00Z,2000-12-05T00:00:00Z
Q79983,Q211401,2001-04-02T00:00:00Z,2002-01-06T00:00:00Z
Q79983,Q128446,2002-01-23T00:00:00Z,2004-06-30T00:00:00Z
Q79983,Q9616,2004-07-01T00:00:00Z,2007-09-20T00:00:00Z
Q79983,Q631,2008-06-02T00:00:00Z,2010-05-30T00:00:00Z
Q79983,Q8682,2010-05-31T00:00:00Z,2013-06-30T00:00:00Z
Q79983,Q9616,2013-07-01T00:00:00Z,2015-12-17T00:00:00Z
Q79983,Q18656,2016-05-27T00:00:00Z,2018-12-18T00:00:00Z
Q79983,Q18741,2019-11-19T00:00:00Z,2021-04-19T00:00:00Z
Q79983,Q2739,2021-07-01T00:00:00Z,2024-01-16T00:00:00Z
Q79983,Q6601875,2024-06-02T00:00:00Z,
Q44420,Q1543,1975-10-02T00:00:00Z,1976-05-30T00:00:00Z
Q44420,Q1422,1976-07-01T00:00:00Z,1986-05-03T00:00:00Z
Q44420,Q631,1986-07-01T00:00:00Z,1991-06-30T00:00:00Z
Q44420,Q1422,1991-07-01T00:00:00Z,1994-06-30T00:00:00Z
Q44420,Q15789,1994-07-01T00:00:00Z,1995-06-30T00:00:00Z
Q44420,Q1900,1995-07-01T00:00:00Z,1996-02-13T00:00:00Z
Q44420,Q15789,1996-07-01T00:00:00Z,1998-06-30T00:00:00Z
Q44420,Q2052,1998-07-01T00:00:00Z,2000-06-30T00:00:00Z
Q44420,Q676899,2000-07-05T00:00:00Z,2004-06-30T00:00:00Z
Q44420,Q131499,2004-07-01T00:00:00Z,2005-05-31T00:00:00Z
Q44420,Q4512,2005-07-01T00:00:00Z,2006-02-09T00:00:00Z
Q44420,Q994811,2006-06-01T00:00:00Z,2008-04-30T00:00:00Z
Q44420,Q163547,2008-05-01T00:00:00Z,2013-09-11T00:00:00Z
Q126503,Q1543,2014-06-01T00:00:00Z,2015-06-01T00:00:00Z
Q126503,Q501245,2016-06-01T00:00:00Z,2018-06-01T00:00:00Z
Q126503,Q1893,2018-06-01T00:00:00Z,2019-01-01T00:00:00Z
Q126503,Q652516,2019-06-01T00:00:00Z,2021-05-01T00:00:00Z
Q126503,Q6651,2021-06-01T00:00:00Z,2022-03-01T00:00:00Z
Q126503,Q8476,2022-07-01T00:00:00Z,2023-10-01T00:00:00Z
Q126503,Q847587,2023-10-10T00:00:00Z,2024-02-11T00:00:00Z
Q126503,Q289613,2024-07-03T00:00:00Z,2025-06-13T00:00:00Z
Q126503,Q2674,2025-06-17T00:00:00Z,
Q294718,Q944876,2001-07-02T00:00:00Z,2001-12-03T00:00:00Z
Q294718,Q944876,2002-03-20T00:00:00Z,2002-06-22T00:00:00Z
Q294718,Q6767,2002-06-22T00:00:00Z,2003-06-30T00:00:00Z
Q294718,Q2074,2003-06-30T00:00:00Z,2003-09-21T00:00:00Z
Q294718,Q6767,2005-01-11T00:00:00Z,2006-02-06T00:00:00Z
Q294718,Q676899,2006-07-13T00:00:00Z,2008-06-26T00:00:00Z
Q294718,Q2641,2009-03-10T00:00:00Z,2009-10-06T00:00:00Z
Q294718,Q1900,2010-11-16T00:00:00Z,2011-08-12T00:00:00Z
Q294718,Q2693,2012-01-09T00:00:00Z,2015-06-22T00:00:00Z
Q294718,Q1893,2015-10-28T00:00:00Z,2018-05-24T00:00:00Z
Q294718,Q1139956,2019-07-30T00:00:00Z,2020-08-11T00:00:00Z
Q102027,Q130521,2017-01-01T00:00:00Z,2021-09-01T00:00:00Z
Q102027,Q652516,2022-09-21T00:00:00Z,2023-02-04T00:00:00Z
Q102027,Q2798,2024-04-01T00:00:00Z,2024-06-30T00:00:00Z
Q102027,Q172803,2024-12-30T00:00:00Z,2025-04-09T00:00:00Z
Q3362674,Q9616,,
Q314511,Q1543,,
Q46741,Q1543,,
Q258115,Q276533,2006-02-19T00:00:00Z,2006-05-17T00:00:00Z
Q258115,Q214940,2006-05-18T00:00:00Z,2007-12-09T00:00:00Z
